,pearson correlation coefficient,rxnName,subsystem,p_value
r_1683,,choline exchange,Exchange reaction,
r_2247,,acyl-CoA oxidase (cis-tetradec-5-enoyl-CoA),Fatty acid degradation,0.590773242298229
r_0889,,phosphogluconate dehydrogenase,Pentose phosphate pathway,0.37893401088347417
r_0369,,ethyl acetate-hydrolyzing esterase,Complex alcohol metabolism,0.7517606671252242
r_1241,,pantothenate transport,"Transport [c, e]",0.9206547578510615
r_3176,,"PI 3,5-P2 phosphatase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,0.28535084963942264
r_0983,,ribosylnicotinamide kinase,Nicotinate and nicotinamide metabolism,0.9244290780861797
r_3635,,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1) transport, nucleus-cytoplasm","Transport [c, n]",
r_2411,,"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:1), lipid particle",Glycerolipid metabolism,0.57747333671302
r_1651,,alpha-D-glucosamine 6-phosphate exchange,Exchange reaction,
r_2137,,"ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange",Exchange reaction,
r_3583,,"NADPH transport, cytoplasm-lipid particle","Transport [c, lp]",
r_0757,,myo-inositol 1-phosphatase,Inositol phosphate metabolism,0.253079691092901
r_3237,,"DGPP phosphatase (1-16:1, 2-18:1), Golgi membrane",Glycerolipid metabolism,0.3169760476015279
r_2229,,"butyrate (n-C4:0) transport, cytoplasm-peroxisome","Transport [c, p]",
r_2844,,"phosphatidylinositol 4-kinase (1-16:0, 2-16:1), nucleus",Inositol phosphate metabolism,0.45854790771942233
r_3636,,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1) transport, nucleus-cytoplasm","Transport [c, n]",
r_3491,,"IPC synthase (PI (1-18:1, 2-18:1) ceramide-3 (C26))",Sphingoglycolipid metabolism,0.9980527051284135
r_0973,,ribonucleoside-triphosphate reductase (UTP),Pyrimidine metabolism,0.11821927676753637
r_3852,,"phosphatidyl-L-serine (1-18:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
r_1736,,dephospho-CoA kinase,Pantothenate and coa biosynthesis,
r_3311,,"MAG lipase (1-18:1), lipid particle",Glycerolipid metabolism,0.05003469710376009
r_0762,,N-formyl-L-kynurenine amidohydrolase,Tryptophan metabolism,0.8756632209007504
r_1226,,malate transport,"Transport [c, m]",0.8354960066202046
r_0688,,L-lactaldehyde:NADP+ 1-oxidoreductase,Pyruvate metabolism,0.41256988830661784
r_2111,,growth,Exchange reaction,
r_2260,,2-enoyl-CoA hydratase (3-hydroxy-cis-hexadec-9-enoyl-CoA),Fatty acid degradation,0.06152118947500646
r_4609,,UDP transport,"Transport [c, g]",
r_2176,,trans-2-enoyl-CoA reductase (n-C16:0CoA),Biosynthesis of unsaturated fatty acids,0.28175288793399006
r_0807,,nucleoside triphosphatase,Purine metabolism,0.8444937488909073
r_0242,,C-5 sterol desaturase,Steroid biosynthesis,0.9210884485929639
r_1258,,sodium proton antiporter,"Transport [c, e]",0.370620815045265
r_3042,,"LPC phospholipase B (16:0), cell envelope",Glycerophospholipid metabolism,0.6345468590602846
r_2240,,acyl-CoA oxidase (docosanoyl-CoA),Fatty acid degradation,0.18277828432980742
r_2426,,"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:1), lipid particle",Glycerolipid metabolism,0.5057930777130507
r_1136,,D-lactate transport,"Transport [c, e]",0.5384841499291766
r_2868,,"PI 4-P 5-kinase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,0.6947246456903261
r_3534,,"glycerol 3-phosphate transport, cytoplasm-ER membrane","Transport [c, erm]",
r_1858,,IPC transport,"Transport [er, g]",
r_3965,,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) [cytoplasm] SLIME rxn",SLIME reaction,
r_2825,,"phosphatidylinositol 4-kinase (1-16:1, 2-18:1), cell envelope",Inositol phosphate metabolism,0.25238648647305434
r_1752,,dUMP transport,"Transport [c, n]",
r_3257,,"fecosteryl ester hydrolase (18:1), lipid particle",Steroid biosynthesis,0.7683730420089763
r_3274,,"TAG lipase (1-18:0, 2-16:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.6831691774170556
r_1165,,GDP-mannose antiport,"Transport [c, g]",0.061900066664419516
r_0537,,histidinol-phosphatase,Histidine metabolism,0.18918850588506048
r_3112,,"PI 3-P phosphatase (1-16:0, 2-16:1), cell envelope",Inositol phosphate metabolism,0.28535084963942264
r_3968,,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) [cytoplasm] SLIME rxn",SLIME reaction,
r_3500,,"IPC synthase (PI (1-16:0, 2-16:1) ceramide-4 (C26))",Sphingoglycolipid metabolism,0.6203144813468918
r_0265,,ceramide-2 synthase (24C),Sphingolipid metabolism,0.900551650531727
r_1751,,dUDP diffusion,"Transport [c, n]",
r_3269,,"TAG lipase (1-16:1, 2-16:1, 3-16:1), lipid particle",Glycerolipid metabolism,0.5909486666577619
r_3260,,"zymosteryl ester hydrolase (16:1), lipid particle",Steroid biosynthesis,0.5504596503756327
r_4047,,protein pseudoreaction,Growth,
r_0689,,L-serine deaminase,"Glycine, serine and threonine metabolism",0.7440530989624833
r_2304,,"2,4-dienoyl-CoA reductase (trans-2,trans-4-tetradecadienoyl-CoA)",Ascospore biosynthesis,0.8750619677471674
r_4525,,3-phospho-serine exchange,Exchange reaction,
r_0694,,"L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)",Tryptophan metabolism,0.06970250485560495
r_2421,,"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.6947185895326057
r_3496,,"IPC synthase (PI (1-16:0, 2-18:1) ceramide-4 (C24))",Sphingoglycolipid metabolism,0.07947422574469715
r_3482,,"IPC synthase (PI (1-18:0, 2-18:1) ceramide-3 (C24))",Sphingoglycolipid metabolism,0.4494993969227503
r_3302,,"DAG lipase (1-18:0, 2-18:1), lipid particle",Glycerolipid metabolism,0.12998677529557323
r_1577,,2-methylbutanal exchange,Exchange reaction,
r_3949,,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
r_3442,,"IPC synthase (PI (1-18:0, 2-18:1) ceramide-1 (C26))",Sphingoglycolipid metabolism,0.4806321233633642
r_3295,,"TAG lipase (1-18:1, 2-18:1, 3-18:1), lipid particle",Glycerolipid metabolism,0.8226572027806731
r_3277,,"TAG lipase (1-18:1, 2-16:1, 3-16:1), lipid particle",Glycerolipid metabolism,0.9387448854133246
r_4002,,"phosphatidylethanolamine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3542,,"CDP-choline transport, cytoplasm-ER membrane","Transport [c, erm]",
r_0106,,acetyl-CoA C-acyltransferase (octanoyl-CoA),Fatty acid degradation,0.07367867315140672
r_0648,,IPS phospholipase C,Sphingolipid metabolism,0.10588760300647718
r_0364,,dUTP diphosphatase,Pyrimidine metabolism,0.9009495902206224
r_3940,,"phosphate transport, ER-ER membrane","Transport [erm, er]",
r_2338,,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-16:1), ER membrane",Glycerolipid metabolism,0.6231793694326516
r_2854,,"phosphatidylinositol 3-kinase (1-18:0, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,0.19531083663385315
r_3224,,"DGPP phosphatase (1-16:0, 2-16:1), vacuolar membrane",Glycerolipid metabolism,0.46598522202251175
r_0143,,adenosine monophosphate deaminase,Purine metabolism,0.6689582371828207
r_3638,,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1) transport, nucleus-cytoplasm","Transport [c, n]",
r_0327,,dCTP deaminase,Pyrimidine metabolism,0.4388479327613166
r_4574,,"3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)",Beta-alanine metabolism,
r_4356,,2-aminobutyrate transport,"Transport [c, e]",
r_2388,,"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), ER membrane",Glycerolipid metabolism,0.42494121924573336
r_3582,,"dihydroxyacetone phosphate transport, cytoplasm-lipid particle","Transport [c, lp]",
r_3799,,"phosphatidate (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
r_2853,,"phosphatidylinositol 3-kinase (1-16:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,0.07320893242971177
r_4017,,"triglyceride (1-16:1, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_2372,,"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:0), ER membrane",Glycerolipid metabolism,0.14566643559144354
r_4446,,D-glucose 1-phosphate transport via diffusion,"Transport [c, e]",
r_3286,,"TAG lipase (1-16:1, 2-18:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.4016712529307841
r_0800,,nucleoside diphosphate kinase,Purine metabolism,0.6807735100582581
r_1761,,ethanol exchange,Exchange reaction,
r_3025,,"PC phospholipase B (1-18:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,0.9162693145171853
r_2262,,2-enoyl-CoA hydratase (3-hydroxy-cis-dodec-5-enoyl-CoA),Fatty acid degradation,0.24179480255332075
r_3533,,"NAD transport, cytoplasm-ER membrane","Transport [c, erm]",
r_3268,,"TAG lipase (1-16:1, 2-16:1, 3-16:0), lipid particle",Glycerolipid metabolism,0.9098967673540288
r_3271,,"TAG lipase (1-16:1, 2-16:1, 3-18:1), lipid particle",Glycerolipid metabolism,0.5456226211033415
r_3164,,"PI 4-P phosphatase (1-16:0, 2-18:1), ER membrane",Inositol phosphate metabolism,0.5746930451101426
r_3259,,"lanosteryl ester hydrolase (18:1), lipid particle",Steroid biosynthesis,0.3138241983115125
r_0160,,alcohol acetyltransferase (isoamyl alcohol),Complex alcohol metabolism,0.5653773030035754
r_2167,,B-ketoacyl-CoA reductase ((S)-3-hydroxyhexacosanoyl-CoA),Biosynthesis of unsaturated fatty acids,0.14085629017950638
r_3294,,"TAG lipase (1-18:1, 2-18:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.3169849587346844
r_3474,,"IPC synthase (PI (1-18:0, 2-18:1) ceramide-2 (C26))",Sphingoglycolipid metabolism,0.8462127943918744
r_3252,,"ergosteryl ester hydrolase (16:1), lipid particle",Steroid biosynthesis,0.4627000956210537
r_2400,,"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:0), lipid particle",Glycerolipid metabolism,0.3276062842392119
r_0490,,glycerol-3-phosphate dehydrogenase (fad),Glycerophospholipid metabolism,0.4454233796538386
r_3791,,"diglyceride (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
r_3329,,"PE phospholipase A2 (1-16:1, 2-18:1), lipid particle",Glycerolipid metabolism,0.5559820988970176
r_1168,,glutathione transport,"Transport [c, v]",0.24455923026007462
r_4009,,"triglyceride (1-16:1, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3539,,"CDP transport, cytoplasm-ER membrane","Transport [c, erm]",
r_3903,,"phosphatidate (1-16:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
r_2189,,oleate exchange,Exchange reaction,
r_0798,,nucleoside diphosphate kinase,Purine metabolism,0.22067021643386087
r_1623,,5-formethyltetrahydrofolate cyclo-ligase,One carbon pool by folate,0.08173347485987305
r_3845,,"phosphatidyl-L-serine (1-16:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
r_3217,,"PI 3,5-P2 phosphatase (1-16:1, 2-16:1), vacuolar membrane",Inositol phosphate metabolism,0.43868255436439035
r_1852,,IPC transport,"Transport [er, g]",
r_3297,,"DAG lipase (1-16:1, 2-16:1), lipid particle",Glycerolipid metabolism,0.08106259242738106
r_1688,,citrate/isocitrate antiport,"Transport [c, p]",
r_1684,,choline transport,"Transport [c, ce]",0.36537351380878713
r_0940,,proline oxidase (NAD),Arginine and proline metabolism,0.11233367401165475
r_3535,,"dihydroxyacetone phosphate transport, cytoplasm-ER membrane","Transport [c, erm]",
r_4004,,"phosphatidylethanolamine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3843,,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
r_1553,,1-(sn-glycero-3-phospho)-1D-myo-inositol exchange,Exchange reaction,
r_1697,,CO2 transport,"Transport [c, e]",
r_4427,,N-Acetylmethionine transport via proton symport,"Transport [c, e]",
r_0131,,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",Steroid biosynthesis,0.3794915610247822
r_2156,,elongase II (3-oxooctadecanoyl-CoA),Biosynthesis of unsaturated fatty acids,0.0940158711296554
r_3878,,"phosphatidylcholine (1-16:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
r_0083,,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",Phosphatidylinositol signaling system,0.6532517406515219
r_1984,,octanoate exchange,Exchange reaction,
r_3184,,"PI 3,5-P2 phosphatase (1-16:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,0.08667549580946275
r_3666,,"ATP transport, cytoplasm-Golgi membrane","Transport [c, gm]",
r_2337,,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-18:1), ER membrane",Glycerolipid metabolism,0.27261346508624457
r_1645,,ADP transport,"Transport [c, er]",
r_1598,,3-methylbutanal exchange,Exchange reaction,
r_3153,,"PI 4-P phosphatase (1-16:1, 2-16:1), cytoplasm",Inositol phosphate metabolism,0.9861260727841633
r_3769,,"phosphatidyl-L-serine (1-16:0, 2-18:1) transport, ER membrane-mitochondrial membrane","Transport [erm, mm]",
r_3826,,"phosphatidylethanolamine (1-16:1, 2-18:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",0.7677088457864945
r_4530,,N(omega)-phospho-L-arginine exchange,Exchange reaction,
r_3597,,"glycerol transport, lipid particle-cytoplasm","Transport [c, lp]",
r_4461,,Choline phosphate intracellular transport,"Transport [c, e]",
r_4204,,Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I),Dipeptidases,0.5942339099647139
r_3462,,"IPC synthase (PI (1-18:0, 2-16:1) ceramide-2 (C24))",Sphingoglycolipid metabolism,0.6812071852337964
r_2065,,thiaminase,Thiamine metabolism,
r_2391,,"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:0), ER membrane",Glycerolipid metabolism,0.41554769296057514
r_3596,,"H2O transport, cytoplasm-lipid particle","Transport [c, lp]",
r_1025,,sulfate adenylyltransferase,Sulfur metabolism,0.744690891927389
r_2396,,"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:1), ER membrane",Glycerolipid metabolism,0.17320643990932189
r_1843,,indol-3-ylacetaldehyde exchange,Exchange reaction,
r_4440,,"L-methionine transport, vacuoluar","Transport [c, v]",
r_4589,,Cu2(+) transport,"Transport [c, e]",0.3116810778231008
r_3964,,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) [cytoplasm] SLIME rxn",SLIME reaction,
r_0972,,ribonucleoside-triphosphate reductase (GTP),Purine metabolism,0.8377382551633827
r_3854,,"phosphatidylethanolamine (1-16:1, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
r_1674,,carnitine-acetylcarnitine carrier,"Transport [c, p]",
r_3130,,"PI 3-P phosphatase (1-18:0, 2-16:1), ER membrane",Inositol phosphate metabolism,0.4429390760637336
r_4456,,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),"Transport [c, e]",
r_2375,,"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:0), ER membrane",Glycerolipid metabolism,0.9092788066054147
r_1203,,L-isoleucine transport,"Transport [c, v]",0.308222738970273
r_3214,,"PI 4,5-P2 phosphatase (1-18:0, 2-18:1), ER membrane",Inositol phosphate metabolism,0.8736788459881991
r_0064,,3-methyl-2-oxopentanoate decarboxylase,Complex alcohol metabolism,0.5205266325188714
r_3993,,"phosphatidylcholine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3953,,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
r_4451,,GMP transport via proton symport,"Transport [c, e]",
r_2174,,B-hydroxyacyl-CoA dehydratase (trans-hexacos-2-enoyl-CoA),Biosynthesis of unsaturated fatty acids,0.4718838001234551
r_3321,,"PC phospholipase A2 (1-16:1, 2-18:1), lipid particle",Glycerolipid metabolism,0.8593960523432077
r_1161,,fecosterol transport,"Transport [c, e]",0.27976780374100163
r_3654,,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1) transport, vacuolar membrane-cytoplasm","Transport [c, vm]",
r_4007,,"triglyceride (1-16:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_0672,,L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase,Arginine and proline metabolism,0.119805263455402
r_3985,,"phosphatidyl-L-serine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_1578,,2-methylbutanal transport,"Transport [c, e]",
r_2461,,"PI synthase (1-18:1, 2-18:1), ER membrane",Inositol phosphate metabolism,0.4191432323526466
r_1260,,spermidine transport,"Transport [c, e]",0.47864272243590805
r_3778,,"phosphatidylethanolamine (1-16:1, 2-18:1) transport, mitochondrial membrane-ER membrane","Transport [erm, mm]",
r_4267,,2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase,Purine metabolism,0.865254089833294
r_3320,,"PC phospholipase A2 (1-16:0, 2-18:1), lipid particle",Glycerolipid metabolism,0.9073537946483416
r_0559,,hydroxymethylglutaryl CoA synthase,Terpenoid backbone biosynthesis,0.0649278738888746
r_0843,,pantothenate synthase,Pantothenate and coa biosynthesis,0.5760093135436735
r_3756,,"phosphatidate (1-16:1, 2-18:1) transport, lipid particle-ER membrane","Transport [erm, lp]",
r_3343,,"PA kinase (1-18:1, 2-16:1), vacuolar membrane",Glycerolipid metabolism,
r_3333,,"PA kinase (1-16:1, 2-16:1), Golgi membrane",Glycerolipid metabolism,
r_0459,,galactose-1-phosphate uridylyltransferase,Galactose metabolism,0.08560867892552781
r_0127,,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",Steroid biosynthesis,0.47773010063172017
r_2365,,"PA phosphatase (1-18:0, 2-18:1), Golgi membrane",Glycerolipid metabolism,0.05936214204624516
r_3287,,"TAG lipase (1-16:1, 2-18:1, 3-18:1), lipid particle",Glycerolipid metabolism,0.5255348056918848
r_3254,,"episteryl ester hydrolase (16:1), lipid particle",Steroid biosynthesis,0.5439500161033889
r_4027,,"triglyceride (1-18:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_1600,,3-methylbutanal transport,"Transport [c, m]",
r_1607,,4-aminobutanal transport,"Transport [c, m]",
r_2419,,"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.6474583962357368
r_3495,,"IPC synthase (PI (1-18:1, 2-16:1) ceramide-4 (C24))",Sphingoglycolipid metabolism,0.06492247905305809
r_4572,,beta-alanine:2-oxoglutarate aminotransferase,Beta-alanine metabolism,
r_0166,,"aldehyde dehydrogenase (2-methylbutanol, NAD)",Complex alcohol metabolism,0.6708654079947295
r_2546,,"PGP phosphatase (1-16:0, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,0.7651883887608785
r_1585,,2-oxobutanoate transporter,"Transport [c, m]",
r_0697,,lactoylglutathione lyase,Pyruvate metabolism,0.17844971272812393
r_0074,,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",Phosphatidylinositol signaling system,0.9069932634670156
r_3338,,"PA kinase (1-18:0, 2-18:1), Golgi membrane",Glycerolipid metabolism,
r_2850,,"phosphatidylinositol 4-kinase (1-18:0, 2-18:1), nucleus",Inositol phosphate metabolism,0.9705075790770564
r_1963,,NADP(+) transport,"Transport [c, er]",
r_4455,,Phosphoenolpyruvate transport in via proton symport,"Transport [c, e]",
r_3538,,"CTP transport, cytoplasm-ER membrane","Transport [c, erm]",
r_2284,,acetyl-CoA C-acyltransferase (butanoyl-CoA),Fatty acid degradation,0.11220111967514747
r_2849,,"phosphatidylinositol 4-kinase (1-16:1, 2-18:1), nucleus",Inositol phosphate metabolism,0.8202456055795724
r_1147,,ergosterol transport,"Transport [c, e]",0.7712924309672673
r_3492,,"IPC synthase (PI (1-16:0, 2-16:1) ceramide-4 (C24))",Sphingoglycolipid metabolism,0.6578924289708985
r_3141,,"PI 3-P phosphatase (1-16:1, 2-18:1), Golgi membrane",Inositol phosphate metabolism,0.4297371020383799
r_0485,,glutathione synthetase,Glutathione metabolism,0.7868541397786281
r_2292,,acetyl-CoA C-acyltransferase (cis-hexadec-7-enoyl-CoA),Fatty acid degradation,0.8610799736805931
r_3798,,"phosphatidate (1-16:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
r_0315,,cytidine kinase (GTP),Pyrimidine metabolism,0.9339552147728375
r_3238,,"DGPP phosphatase (1-18:0, 2-18:1), Golgi membrane",Glycerolipid metabolism,0.40796923617269326
r_2875,,"PI 4-P 5-kinase (1-18:1, 2-18:1), cell envelope",Inositol phosphate metabolism,0.10803366338112846
r_3655,,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-16:1) transport, vacuolar membrane-cytoplasm","Transport [c, vm]",
r_1856,,IPC transport,"Transport [er, g]",
r_3450,,"IPC synthase (PI (1-18:0, 2-18:1) ceramide-2' (C24))",Sphingoglycolipid metabolism,0.1886447105888343
r_3904,,"phosphatidate (1-16:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
r_0181,,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",Complex alcohol metabolism,0.5514477410533944
r_0564,,imidazoleglycerol-phosphate dehydratase,Histidine metabolism,0.7661260454277921
r_1266,,sulfate uniport,"Transport [c, e]",0.17103183696530402
r_0553,,hydroxyacylglutathione hydrolase,Pyruvate metabolism,0.13482596179615547
r_2319,,"glycerol-3-phosphate acyltransferase (18:1), lipid particle",Glycerolipid metabolism,0.6407801373544971
r_3736,,"phosphatidylcholine (1-16:1, 2-18:1) transport, ER membrane-lipid particle","Transport [erm, lp]",
r_3665,,"carbon dioxide transport, cytoplasm-Golgi membrane","Transport [c, gm]",
r_1803,,GDP-alpha-D-mannose transport,"Transport [c, g]",0.061900066530038496
r_3995,,"phosphatidylcholine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_0844,,peroxisomal acyl-CoA thioesterase,Biosynthesis of unsaturated fatty acids,0.24417288953760533
r_0448,,"fructose-2,6-bisphosphate 2-phosphatase",Fructose and mannose metabolism,0.1574188421724563
r_3346,,"PA kinase (1-18:0, 2-18:1), vacuolar membrane",Glycerolipid metabolism,
r_2386,,"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), ER membrane",Glycerolipid metabolism,0.18022439954959127
r_0186,,"aldehyde dehydrogenase (tryptophol, NAD)",Tyrosine metabolism,0.9101226662567343
r_4502,,D-glucose 6-phosphate exchange,Exchange reaction,
r_0693,,L-threonine deaminase,"Glycine, serine and threonine metabolism",0.5103682138307322
r_4595,,Mn(2+) exchange,Exchange reaction,
r_2860,,"PI 4-P 5-kinase (1-16:0, 2-16:1), nucleus",Inositol phosphate metabolism,0.1727982540139851
r_2478,,"PS decarboxylase (1-18:0, 2-18:1), Golgi membrane",Glycerophospholipid metabolism,0.5785572787776256
r_3884,,"phosphatidylcholine (1-18:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
r_4030,,"triglyceride (1-16:0, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3345,,"PA kinase (1-16:1, 2-18:1), vacuolar membrane",Glycerolipid metabolism,
r_1026,,sulfate adenylyltransferase (ADP),Sulfur metabolism,0.43335280808053156
r_3312,,"lysoPE (1-16:0) oleoyl-CoA acyltransferase, lipid particle",Glycerolipid metabolism,0.1846027970159113
r_2129,,proton leak,"Transport [c, m]",
r_2075,,thymidine transport,"Transport [c, e]",
r_1864,,isoamyl alcohol transport,"Transport [c, m]",
r_0571,,"inositol-1,3,4,5,6-pentakisphosphate 2-kinase",Inositol phosphate metabolism,0.6126350042534948
r_3581,,"glycerol 3-phosphate transport, cytoplasm-lipid particle","Transport [c, lp]",
r_1690,,CMP nucleosidase,Pyrimidine metabolism,
r_1243,,phenethyl acetate transport,"Transport [c, e]",
r_4567,,6-phosphogluconate phosphatase,Pentose phosphate pathway,
r_1887,,L-glutamate 5-semialdehyde dehydratase,Arginine and proline metabolism,
r_3266,,"TAG lipase (1-16:0, 2-16:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.14260545889266069
r_2161,,B-ketoacyl-CoA reductase ((S)-3-hydroxytetradecanoyl-CoA),Biosynthesis of unsaturated fatty acids,0.1632880475732114
r_3165,,"PI 4-P phosphatase (1-16:1, 2-18:1), ER membrane",Inositol phosphate metabolism,0.06895386389112831
r_1604,,4-aminobenzoate exchange,Exchange reaction,
r_4216,,riboflavin-5-phosphate phosphohydrolase,Riboflavin metabolism,0.8765029009101271
r_3824,,"phosphatidylethanolamine (1-18:1, 2-16:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",0.5384597283365832
r_2245,,acyl-CoA oxidase (oleoyl-CoA),Fatty acid degradation,0.590773242298181
r_0758,,myo-inositol-1-phosphate synthase,Inositol phosphate metabolism,0.60920939478048
r_4031,,"triglyceride (1-16:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3465,,"IPC synthase (PI (1-16:1, 2-18:1) ceramide-2 (C24))",Sphingoglycolipid metabolism,0.897238320212466
r_2538,,"phosphatidylglycerolphosphate synthase (1-18:0, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,0.44295009424184745
r_3741,,"phosphatidylethanolamine (1-18:0, 2-16:1) transport, ER membrane-lipid particle","Transport [erm, lp]",
r_2005,,phosphate exchange,Exchange reaction,
r_1001,,spermidine synthase,Arginine and proline metabolism,0.704929528526039
r_2171,,B-hydroxyacyl-CoA dehydratase (trans-icos-2-enoyl-CoA),Biosynthesis of unsaturated fatty acids,0.4066093659065945
r_2037,,reduced thioredoxin transport,"Transport [c, p]",
r_0956,,pyridoxine oxidase,Vitamin b6 metabolism,0.40219528241088487
r_3444,,"IPC synthase (PI (1-16:0, 2-16:1) ceramide-2' (C24))",Sphingoglycolipid metabolism,0.8660402721876067
r_1210,,"L-leucine transport, vacuoluar","Transport [c, v]",0.6337457311876878
r_3860,,"phosphatidylethanolamine (1-18:1, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
r_0004,,(S)-lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,0.7945364011126946
r_3262,,"zymosteryl ester hydrolase (16:1), cell envelope",Steroid biosynthesis,0.3851306131524665
r_4018,,"triglyceride (1-18:0, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_1891,,L-glutamine exchange,Exchange reaction,
